萧敬腾	4286.63	董成鹏	30212.93	江疏影	5326.1	谢娜	18556.76	邱瓈宽	107	朱延平	187.25	邱瓈宽	187.25
王宝强	32329.42	郭富城	46408.13	林志玲	15980.53	颜丙燕	32849.6	陈凯歌	23464	陈凯歌	41062	陈红	41062
万国鹏	7141.75	沈凯	5713.4	王婷	7141.75	徐小琴	5713.36	尔冬升	5309.5	尔冬升	7141.75	李锦文	7141.75
陈学冬	25978.52	锦荣	31856.69	杨幂	30851.17	郭采洁	24290.88	郭敬明	45856.75	郭敬明	59534.13	李力	45812.08
李易峰	40672.33	蒋劲夫	27487.6	张慧雯	39656.17	张予曦	48266.4	傲立	25768.83	何炅	60333	王立学	30678.67
辛鹏	0	李欢	18.4	李嘉琪	23	李浩菲	18.4	李霄峰	23	李霄峰	23	沈暘	23
井柏然	38015.37	姜武	22167.35	白百何	30379.07	金燕玲	41235.12	袁锦麟	66975	许诚毅	117206.25	江志强	22498.25
董成鹏	37766.17	衣云鹤	80570.93	袁姗姗	50432.43	柳岩	27171.94	董成鹏	43163	董成鹏	100713.67	陈祉希	100713.67
张兆辉	19279.21	陆思宇	1909.6	徐娇	3389.75	田子田	1909.6	彭发	739	彭发	1389.11	袁冰涛	2387
廖凡	8646.17	刘韬	8648.27	汤唯	27919.76	苏岩	8648.24	赵硕	4633	张皓	10810.33	冯小刚	9019.5
金城武	9183.13	黄晓明	16238.02	章子怡	7313.48	宋慧乔	4197.36	王蕙玲	8011.25	吴宇森	6300.19	张家振	5454.75
黎明	6128.31	吴尊	12945.8	范冰冰	32413.35	陈冲	16931.28	十庆	18377.33	十庆	16182.25	刘岩	16182.25
古天乐	13415.13	方中信	9093.28	郭采洁	27327.24	胡静	7524.04	阮世生	813.83	阮世生	2643.67	林小强	6540.33
彭于晏	17637.32	窦骁	7518.73	王珞丹	21828.33	欧阳娜娜	19236.68	林超贤	9355.67	林超贤	11987.79	梁凤英	11987.79
陈赫	58816.22	常远	14766.92	姚星彤	1789.78	李宜儒	596.4	侯亮	426	侯亮	745.5	王大勇	745.5
窦骁	9398.41	杨祐宁	8315.83	陈意涵	7123.73	宋伊人	3992.8	王莉莉	2139	宋迪	6688.5	赵毅	4991
白凯南	357	舒鸣	408.8	刘宸希	511	任铭松	408.8	曹独山	219	陈晓曦	511	舒鸣	511
吴彦祖	19584.11	刘芮麟	25968.6	白百何	30379.07	李媛	13383.76	袁媛	18549	韩延	32460.75	李亮文	16566.38
周渝民?	8700.81	任达华	7924.42	王珞丹	21828.33	天心	4582.04	伍臻祥	3101	彭顺	5426.75	林朝阳	5426.75
郑开元	7072.8	李贤宰	25446.61	杨幂	30851.17	江疏影	4260.86	文牧野	40284.14	文牧野	7072.8	顾晓东	7072.8
朱亚文	19521.79	陈晓	25559.57	杨颖	43979.29	倪妮	29868.76	陈国辉	17714	陈国辉	21845.25	陈果	40315.63
邓超	47687.28	段奕宏	6149.42	王珞丹	21828.33	徐玺涵	17225.6	曹保平	12304	曹保平	21532	叶进军	21532
刘青云	11047.75	井柏然	30412.29	汤唯	27919.76	秦海璐	9221.89	张婉婷	924	张婉婷	1617	罗启锐	12786.23
陶泽如	16727.67	刘之冰	9288.8	吴越	33434.33	苏丽	184.8	董哲	14329	宁海强	11223.44	李树臣	33434.33
孙坚	1045.33	范逸臣	597.33	毛晓彤	95.67	杨洋	410.67	鸿水	41	鸿水	95.67	鸿水	95.67
周润发	36509.29	陈奕迅	4822.72	张艾嘉	4980.03	汤唯	22335.79	张艾嘉	2608	杜琪峰	9406.16	任佳	6028.4
权相佑	1237.6	霍建华	990.08	张雨绮	9591.93	施予斐	2350.99	洪泠	884	张林子	1237.6	张鹏程	1237.6
胡军	8087.33	马晓伟	8979.56	韩雪	974.75	刘嘉玲	23013.65	刘星	557	刘星	974.75	于紫菲	974.75
孙坚	1045.33	金恩圣	1060.27	周泓	1045.33	李彩英	1060.24	文宁	568	彭发	1389.11	刘辰	1325.33
徐峥	82405.94	包贝尔	33696.48	赵薇	72394.97	杜鹃	127706.08	徐峥	69916.33	徐峥	159632.67	刘流	67856.37
宋承宪	11188.33	欧汉声	4538.8	刘亦菲	11554	孟佳	8950.64	自由行走andrea	4795	李宰汉	11188.33	窦霞	11188.33
