王力宏,6728.75,郑恺,13108.96,章子怡,14955.35,关颖,19933.86,周隼,9964.5,丹尼·高顿,9964.5,陈思勤,9964.5
房祖名,1547.47,王太利,768.6,黄瀞怡,9491.3,谢芳,614.88,孙渤涵,768.6,孙渤涵,768.6,张阳,768.6
潘粤明,2681.93,侯勇,465.03,伊能静,304.97,胡可,279.23,虞军豪,4839.57,李作楠,373.8,杨宁,373.8
赵又廷,36231.59,冯绍峰,12561.09,杨颖,30617.85,刘嘉玲,28238.36,张家鲁,51787.94,徐克,1175.88,施南生,24432.72
张智霖,4517.77,高虎,12193.16,钟欣桐,2684.5,惠英红,920.7,蒲松龄,26567.72,牛朝阳,2366.88,徐永安,4796.97
黄晓明,25356.58,冯德伦,17407.39,金雅中,2005,郭采洁,17407.39,李海蜀,5783.4,胡雪桦,2506,汪天云,11629.52
陈思诚,11213.88,包贝尔,1111.87,蒋梦婕,31713.45,鲍起静,5833.11,文隽,17337.34,叶伟民,12954.78,甘蕙茵,3136.61
古天乐,15492.08,刘青云,4907,李心洁,9927.76,金巧巧,18024.13,司徒锦源,12352.85,彭氏兄弟,9086,林小明,7241.27
约翰尼·德普,18179.88,艾米·汉莫,19868.1,海伦娜·伯翰·卡特,10461.5,露丝·威尔森,10144.4,贾斯汀·海瑟,12680.5,戈尔·维宾斯基,12680.5,杰瑞·布鲁克海默,10278.63
杰西·艾森伯格,17769.11,伍迪·哈里森,7969.97,艾拉·菲舍尔,17620.6,梅拉尼·罗兰,8618.4,爱德·索罗门,39023.83,路易斯·莱特里尔,39023.83,艾里克斯·库兹曼,27428.87
冯绍峰,30617.85,钮宝平,18795.58,倪妮,9208.5,常小婧,9209.2,作业本,11511.5,李蔚然,11511.5,张昭,11511.5
休·杰克曼,20089.53,冈本多绪,19871.25,福岛莉拉,15897,山内春,19871.25,马克·鲍姆贝克,26699.94,詹姆斯·曼高德,19871.25,斯坦·李,49470.9
甄子丹,42455,安志杰,17614.68,景甜,6081.83,鲍起静,5833.11,司徒锦源,42022.17,霍耀良,16027.67,张望,16027.67
宗峰岩,394.33,王海祥,268.57,念贤儿,455,于佳琪,315.47,胡小帅,519.94,宋胤熹,591.5,宋胤熹,8408.17
阿诺德·施瓦辛格,5122.25,罗德里格·桑托罗,5122.25,杰米·亚历山大,3353.58,珍妮塞丝·罗德里格兹,4097.8,安德鲁·克奈尔,5122.25,金知云,5122.25,洛伦佐·迪·博纳文图拉,55505.53
冯远征,666.46,戴立忍,435.33,冯波,1043,杨旸,325.73,谢晓东,669.67,王竞,669.67,谢晓东,669.67
田亮,17430.39,谢君豪,587.34,邓丽欣,311.11,赵柯,221.39,李绚彦,277.67,钟澍佳,696.03,邱子泽,277.67
林峯,2429,吴千语,3056.78,盛君,1688.94,于波,569.57,黄博,2429,梁普智,2429,梁普智,2429
任达华,4346.33,袁弘,1232.23,徐若瑄,1116.5,颖儿,1623.34,邓晓华,1395.33,王光利,1395.33,王晶,17999.99
吴镇宇,11093.69,樊少皇,694.22,邓紫衣,8683.5,陈一榕,901.6,伏羲,1127,伏羲,1127,冯郇,1127
邹兆龙,813.17,安志杰,13748.04,余男,19874.1,潘霜霜,647.73,傅华阳,3899.29,傅华阳,931,任仲伦,7783.68
任达华,4346.33,林雪,910,牛萌萌,3424.56,邵美琪,1992.03,罗守耀,910,罗守耀,910,罗守耀,4719.02
李佳航,1194.28,杜海涛,451.39,韩雪,410.67,谢依霖,8822.23,王旭,751.33,韩晶,751.33,李崟,751.33
克里斯·海姆斯沃斯,29199.04,汤姆·希德勒斯顿,30867.67,娜塔莉·波特曼,24693.67,凯特·戴琳斯,28189.47,唐·佩恩,54465.93,艾伦·泰勒,74261.83,凯文·费奇,66079.42
张涵予,21663.69,王柏杰,11661.27,王珞丹,1037.17,朱丹,3532.2,马志宇,2506,马志宇,2506,张昭,2506
房祖名,1547.47,钱入富,17407.39,郭采洁,2227.17,于莎莎,1861.07,蔚杰,2326.33,黎志,2326.33,樊鹏,2326.33
池内博之,562.33,福地祐介,15538.48,林志玲,448,陈廷嘉,1254.4,米子,562.33,筱原哲雄,562.33,庞洪,562.33
包小柏,492.33,连凯,344.91,蓝燕,912.8,倪景阳,2257.71,张力,458.83,张力,261.33,陈昆,4110.17
布鲁斯·威利斯,9112.06,约翰·马尔科维奇,8565.67,玛丽·露易斯·帕克,6853,海伦·米伦,6852.53,乔·霍贝尔,8565.67,迪恩·派瑞萨特,8565.67,洛伦佐·迪·博纳文图拉,32609.5
汪东城,1426.25,胡兵,3242.17,谢娜,567.88,何晶晶,888.53,郑东树,1110.67,赵崇基,1110.67,杨亚林,1110.67
袁成杰,475.42,米学东,723.33,谭卓,434,徐婕儿,578.67,金海曙,437.67,江澄,723.33,李保罗,816.48
伍麟凯,201,周野芒,201,路晨,160,冯波,348.27,杨叛,201,许斌,201,黄湛,201
陈天星,128.33,柳海龙,128.33,王琳娜,102.67,石林,102.67,陈春雷,128.33,陈天星,224,肖湘山,128.33
乔什·哈切森,21638.17,利亚姆·海姆斯沃斯,38374.93,詹妮弗·劳伦斯,36876,吉娜·马隆,11312,西蒙·比尤弗伊,20237.04,弗朗西斯·劳伦斯,27069,妮娜·杰克森,23026.5
吴彦祖,16318.31,任达华,19933.86,姚晨,4346.33,安以轩,3067.52,毕国智,5114.67,毕国智,5114.67,王中磊,6041.15
李治中,179.67,黄孝传,179.67,苏妙玲,135.33,裘恩典,481.6,赵晔,179.67,赵晔,179.67,曾文丽,179.67
徐峥,20172.13,黄渤,13748.04,余男,19874.1,郭虹,12814.67,述平,23261.99,宁浩,43718.5,韩三平,20682.71
邓超,53592.85,郑中基,12158.61,刘亦菲,7474.1,江一燕,9193,陈嘉上,13851.03,陈嘉上,20350.17,长田,20878.67
刘德华,23720.53,林家栋,19933.86,姚晨,13575.14,陈沛妍,27533.8,袁锦麟,55208.03,袁锦麟,29515.5,刘德华,27495.77
柯有伦,2909.28,释小龙,1232.23,徐若瑄,305.67,韩雨洁,182.93,方文山,228.67,方文山,228.67,赵海城,7393.02
聂远,175,焦恩俊,279.23,胡可,301.78,陈一方,11378.85,程荫,175,卫捷,114.8,钟毅,175
汪东城,1426.25,陈汉典,5002.53,周秀娜,56,顾璇,69.07,辛苑子,86.33,麦咏麟,2098.44,熊弈维,86.33
葛优,67984.29,郑恺,35529.38,白百何,14955.35,李小璐,16009.16,王朔,54492.08,冯小刚,75756.33,胡晓峰,40606.42
宋仲基,423.5,柳演锡,423.5,朴宝英,423.5,张英南,338.8,赵圣熙,423.5,赵圣熙,423.5,InBeom Yoon,423.5
成龙,46812.5,刘烨,9007.94,景甜,11259.93,无,0,丁晟,22193.5,丁晟,22193.5,郑剑锋,31411.7
杰拉德·巴特勒,23076.19,杰拉德·巴特勒,33537,安吉拉·贝塞特,19002.86,拉妲·米契尔,11375.42,卡特琳·贝内迪特,21832.11,安东尼·福奎阿,2826,马克·吉尔,17139.92
井柏然,39983.04,格桑,18795.58,倪妮,5468.17,刘雅瑟,8686.69,鲍鲸鲸,16115.75,滕华涛,16115.75,郝为,8027.25
汪峰,399,李代沫,399,吴莫愁,399,丁丁,319.2,史益鑫,399,蔡於位,399,樊大欣,399
李威,618.72,赵楚仑,344.91,蓝燕,427,郑晓婉,428.4,张帆,535.5,张帆,535.5,何佳洪,535.5
蒲巴甲,736.94,李悦铭,5150.83,江语晨,3402,龚洁,72.8,邢潇,91,邢潇,91,李乙平,91
杨珑,157.5,唐爱国,8.96,肖雨雨,11.2,白云,20.35,徐志强,11.2,徐志强,11.2,徐志强,11.2
李威,479.67,秦汉擂,113.87,苏小妹,95.67,童苡萱,76.53,丛艺,95.67,丛艺,95.67,王晓军,95.67
周润发,39569.58,谢霆锋,10969,景甜,14694.24,童菲,21903.4,王晶,30125.6,王晶,19395.8,刘伟强,15786.73
黄晓明,25356.58,赵文卓,17578.4,范冰冰,33846.76,童瑶,10752.31,康桥,39154.5,张之亮,39154.5,于冬,11506.63
王祖蓝,4151.84,许冠文,2372.53,王菀之,1408.74,元秋,4233.25,叶念琛,1898.04,叶念琛,2365.42,陈颖伦,2965.67
董子健,3391.92,王龙华,4194.4,江一燕,7187.92,焦俊艳,12956.53,李顺安,5243,安兵基,5539.34,裴琳,5243
郭鑫,2093,郎鹏,2710.4,余心恬,5857.72,郭艳,1407.47,梁潇潇,1488.67,关尔,1488.67,王茗,1566.44
马克·沃尔伯格,147438.67,韩庚,25785.73,妮可拉·佩尔茨,147438.67,李冰冰,51301.27,伊伦·克鲁格,147438.67,迈克尔·贝,147438.67,伊恩·布莱斯,93189.85
贾一平,711.67,张峻宁,350,黄圣依,4851.51,无,0,李坚,711.67,李坚,711.67,李坚,711.67
李卓远,1353.33,李鹤楠,1082.67,殷果儿,1398.32,孙心娅,1082.67,张兴杰,1353.33,袁杰,926.48,尚亚丽,1494.38
徐峥,33268.5,吕中,6798.23,莫文蔚,4562.99,胡静,6764.01,任鹏,18205.49,陈正道,16786.68,史晓晔,19179.81
古天乐,13678.57,周渝民,4545.66,杨千嬅,3234.6,高圆圆,15847.53,韦家辉,14149.85,杜琪峰,11999.21,杜琪峰,13252.77
陈志朋,58.33,黄觉,1263.34,洪辰,358.56,何琳,46.67,刘一煊,58.33,李妮,58.33,刘一煊,58.33
方力申,1137.43,无,0,刘小佳,2051,洪乙心,1640.8,王熠,2051,王熠,2051,孙建,2051
杜汶泽,2795.78,李梦谦,190.4,蔡卓妍,2872.68,念贤儿,292.37,麦耀权,229.91,张敏,16953.81,王怡卿,238
陈亦飞,447.42,包小柏,408.68,徐冬冬,193.12,田甜,376.83,胡小帅,519.94,邢博,376.83,王永胜,376.83
耿乐,2079.78,邵兵,1057.21,闫妮,22268.75,冯馨瑶,1414.78,李青阳,2727.67,李继贤,2727.67,李继贤,5589.2
毛毅,295.75,无,0,李依伊,397.83,田苏灏,418.13,王琨皓,522.67,廉涛,522.67,张侃,522.67
约翰·罗宾逊,99.75,丁建钧,99.75,李小璐,12978.91,芦菲,79.8,田芬,58.63,田芬,99.75,吴沙进,99.75
陈道明,18979.33,郭涛,14118.89,巩俐,47907.67,张慧雯,33557.11,邹静之,15510.25,张艺谋,17580.79,张昭,9853.55
余文乐,14636.43,吴建豪,6734.56,陈意涵,5454.41,薛凯琪,7666.83,黄真真,11984.89,黄真真,11984.89,黄真真,11984.89
陈小春,3364.15,刘桦,2852.73,安以轩,1162.75,倪景阳,2998.08,韩兆,1521.33,韩兆,1521.33,胡力夫,2360.17
郑恺,15267.89,孙坚,884.15,潘之琳,1247.17,余思潞,782.37,蒋卓元,1533,蒋卓元,1533,徐立,1533
宋洋,1693.84,杨钧承,186.67,王仲欣,233.33,梦丽,186.67,杨江,233.33,杨江,233.33,王方,453.6
罗翔,1531.25,魏星宇,1225,刘妍希,1531.25,余淼,1225,卢少科,960.46,袁杰,926.48,尚亚丽,1494.38
肖央,12447.55,王太利,16469.49,屈菁菁,6299.38,曲婉婷,14694.4,肖央,18368,肖央,18368,李仁港,63563.11
胡兵,350.09,无,0,刘涛,5173.47,马静怡,41.07,闫国琦,51.33,白承勋,51.33,杨健,8110.67
张家辉,19264.85,欧豪,18276.07,郑秀文,12899.25,杨颖,27588.19,卓韵芝,9490.25,卓韵芝,9490.25,江志强,19452.58
黄百鸣,2400.65,曾志伟,11983.1,吴君如,22407.45,薛凯琪,7666.83,谷德昭,4005.56,谷德昭,4005.56,黄百鸣,4580.33
汪东城,975.72,郭德纲,2053.72,安以轩,1162.75,陈欣淇,569.33,李颖,711.67,吴兵,711.67,胡力夫,1810.67
成毅,1612.33,尹正,12606.5,温心,781.67,赵多娜,1289.87,梁婷,1612.33,梁婷,1612.33,梁婷,1612.33
韩庚,25785.73,郑恺,15267.89,姚星彤,1783.16,王丽坤,10751.84,田羽生,14411.83,田羽生,14411.83,王中磊,6041.15
古天乐,13678.57,刘青云,11789.13,周迅,14023.45,叶璇,6325.9,麦兆辉,26677,Alan Mak,26677,于冬,11506.63
黄渤,30508.71,佟大为,12741.7,赵薇,57958.98,郝蕾,6896.77,张冀,12420.36,陈可辛,15095.31,覃宏,7359.07
杜淳,3703,高健,3703,颖儿,1623.34,陈廷嘉,1166.67,许莎朗,3425.8,刘宝贤,2130.33,芦涛,3703
任泉,908.83,乔任梁,2466.8,张杨果而,765.33,曹阳,2874.2,于波,765.33,李彧,765.33,于波,765.33
邓超,40017.93,邹兆龙,5762.2,刘亦菲,16398.33,江一燕,7187.92,陈嘉上,22535.33,陈嘉上,1271.89,王长田,25640.58
金城武,9183.13,黄晓明,14310.03,章子怡,9370.79,宋慧乔,6180.07,苏照彬,6303.69,吴宇森,9183.13,张家振,3088.9
潘粤明,4429.81,吴克群,2921.8,张静初,9019.36,朱珠,4233.83,高雅楠,6693.17,五百,7217,张静初,7217
郭晓冬,7429.25,王紫逸,2372.22,陶红,387.33,无,0,权聆,387.33,权聆,387.33,贾樟柯,387.33
汪东城,975.72,邱晔,631.31,戚薇,1299.67,无,0,王凯,718.08,程中豪,718.08,程中豪,957.83
李泰,233.33,彭博,67.2,孙茜,149.33,汤晶媚,67.2,梁振华,488.06,赵翀,84,肖文,84
石天硕,123.67,曾江,4854.27,莫熙儿,1491,无,0,郑立,108.33,郑立,123.67,董俭,123.67
郭品超,4995.08,李彬,310.33,周秀娜,4741.51,周韦彤,902.68,汪洋,574,车径行,574,汪洋,574
英达,269.18,雪村,37.33,俞晴,46.67,翁虹,3247.53,雪村,46.67,雪村,46.67,俞晴,46.67
拉旺罗布,120.17,阿旺仁青,96.13,索朗卓嘎,120.17,杨雪,441.75,阿来,120.17,傅东育,120.17,祁伟礼,120.17
